[Mon Apr 20 03:55:42 PM EDT 2026] GPU=1 model=phi_4_mini_reasoning dataset=arc_challenge strategy=zero_shot max_new_tokens=256

--- model=phi_4_mini_reasoning dataset=arc_challenge strategy=zero_shot n=500 ---
[58/500] sample_id=125 correct=0 latency=4.066s tokens=256 tps=62.97
[59/500] sample_id=126 correct=1 latency=4.051s tokens=256 tps=63.19
[60/500] sample_id=128 correct=0 latency=4.063s tokens=256 tps=63.01
[61/500] sample_id=129 correct=0 latency=4.063s tokens=256 tps=63.01
[62/500] sample_id=131 correct=0 latency=4.049s tokens=256 tps=63.22
[63/500] sample_id=132 correct=0 latency=4.075s tokens=256 tps=62.83
[64/500] sample_id=139 correct=0 latency=4.063s tokens=256 tps=63.01
[65/500] sample_id=140 correct=0 latency=4.070s tokens=256 tps=62.91
[66/500] sample_id=144 correct=1 latency=4.064s tokens=256 tps=62.99
[67/500] sample_id=145 correct=0 latency=4.074s tokens=256 tps=62.84
[68/500] sample_id=147 correct=1 latency=4.063s tokens=256 tps=63.01
[69/500] sample_id=148 correct=0 latency=4.069s tokens=256 tps=62.92
[70/500] sample_id=149 correct=1 latency=4.066s tokens=256 tps=62.97
[71/500] sample_id=153 correct=0 latency=4.068s tokens=256 tps=62.93
[72/500] sample_id=155 correct=0 latency=4.030s tokens=256 tps=63.53
[73/500] sample_id=157 correct=0 latency=4.065s tokens=256 tps=62.98
[74/500] sample_id=160 correct=1 latency=4.067s tokens=256 tps=62.94
[75/500] sample_id=164 correct=1 latency=4.054s tokens=256 tps=63.15
[76/500] sample_id=171 correct=0 latency=4.074s tokens=256 tps=62.84
[77/500] sample_id=174 correct=0 latency=4.066s tokens=256 tps=62.95
[78/500] sample_id=176 correct=1 latency=4.071s tokens=256 tps=62.89
[79/500] sample_id=177 correct=1 latency=4.073s tokens=256 tps=62.85
[80/500] sample_id=179 correct=0 latency=4.065s tokens=256 tps=62.98
[81/500] sample_id=184 correct=1 latency=4.078s tokens=256 tps=62.77
[82/500] sample_id=185 correct=0 latency=4.076s tokens=256 tps=62.81
[83/500] sample_id=188 correct=1 latency=4.066s tokens=256 tps=62.97
[84/500] sample_id=192 correct=1 latency=4.066s tokens=256 tps=62.97
[85/500] sample_id=193 correct=0 latency=4.073s tokens=256 tps=62.86
[86/500] sample_id=195 correct=1 latency=4.067s tokens=256 tps=62.94
[87/500] sample_id=200 correct=0 latency=4.077s tokens=256 tps=62.80
[88/500] sample_id=202 correct=1 latency=4.060s tokens=256 tps=63.05
[89/500] sample_id=207 correct=0 latency=4.080s tokens=256 tps=62.75
[90/500] sample_id=210 correct=0 latency=4.056s tokens=256 tps=63.11
[91/500] sample_id=212 correct=0 latency=4.051s tokens=256 tps=63.20
[92/500] sample_id=213 correct=0 latency=4.078s tokens=256 tps=62.77
[93/500] sample_id=214 correct=0 latency=4.072s tokens=256 tps=62.87
[94/500] sample_id=220 correct=1 latency=4.060s tokens=256 tps=63.05
[95/500] sample_id=221 correct=0 latency=4.064s tokens=256 tps=62.99
[96/500] sample_id=223 correct=1 latency=4.068s tokens=256 tps=62.92
[97/500] sample_id=226 correct=0 latency=4.073s tokens=256 tps=62.85
[98/500] sample_id=231 correct=0 latency=4.078s tokens=256 tps=62.78
[99/500] sample_id=237 correct=0 latency=4.072s tokens=256 tps=62.87
[100/500] sample_id=238 correct=0 latency=4.074s tokens=256 tps=62.84
[101/500] sample_id=239 correct=1 latency=4.059s tokens=256 tps=63.07
[102/500] sample_id=241 correct=0 latency=4.070s tokens=256 tps=62.90
[103/500] sample_id=245 correct=0 latency=4.055s tokens=256 tps=63.13
[104/500] sample_id=246 correct=1 latency=4.058s tokens=256 tps=63.09
[105/500] sample_id=247 correct=0 latency=4.073s tokens=256 tps=62.86
[106/500] sample_id=251 correct=0 latency=4.069s tokens=256 tps=62.92
[107/500] sample_id=256 correct=0 latency=4.046s tokens=256 tps=63.27
[108/500] sample_id=258 correct=0 latency=4.055s tokens=256 tps=63.13
[109/500] sample_id=259 correct=1 latency=4.064s tokens=256 tps=62.99
[110/500] sample_id=261 correct=0 latency=4.050s tokens=256 tps=63.20
[111/500] sample_id=263 correct=0 latency=4.054s tokens=256 tps=63.15
[112/500] sample_id=264 correct=0 latency=4.066s tokens=256 tps=62.95
[113/500] sample_id=269 correct=0 latency=4.074s tokens=256 tps=62.83
[114/500] sample_id=272 correct=0 latency=4.064s tokens=256 tps=62.99
[115/500] sample_id=274 correct=0 latency=4.068s tokens=256 tps=62.93
[116/500] sample_id=275 correct=0 latency=4.076s tokens=256 tps=62.81
[117/500] sample_id=276 correct=1 latency=4.068s tokens=256 tps=62.93
[118/500] sample_id=277 correct=0 latency=4.062s tokens=256 tps=63.02
[119/500] sample_id=280 correct=0 latency=4.069s tokens=256 tps=62.91
[120/500] sample_id=282 correct=1 latency=4.066s tokens=256 tps=62.97
[121/500] sample_id=284 correct=0 latency=4.068s tokens=256 tps=62.93
[122/500] sample_id=286 correct=0 latency=4.064s tokens=256 tps=63.00
[123/500] sample_id=287 correct=1 latency=4.070s tokens=256 tps=62.90
[124/500] sample_id=289 correct=0 latency=4.075s tokens=256 tps=62.83
[125/500] sample_id=294 correct=0 latency=4.039s tokens=256 tps=63.38
[126/500] sample_id=295 correct=0 latency=4.062s tokens=256 tps=63.02
[127/500] sample_id=296 correct=0 latency=4.058s tokens=256 tps=63.09
[128/500] sample_id=297 correct=0 latency=4.064s tokens=256 tps=62.99
[129/500] sample_id=298 correct=0 latency=4.068s tokens=256 tps=62.92
[130/500] sample_id=299 correct=1 latency=4.034s tokens=256 tps=63.46
[131/500] sample_id=300 correct=0 latency=4.049s tokens=256 tps=63.23
[132/500] sample_id=301 correct=0 latency=4.068s tokens=256 tps=62.93
[133/500] sample_id=304 correct=1 latency=4.054s tokens=256 tps=63.15
[134/500] sample_id=310 correct=0 latency=4.073s tokens=256 tps=62.85
[135/500] sample_id=314 correct=0 latency=4.069s tokens=256 tps=62.91
[136/500] sample_id=320 correct=1 latency=4.071s tokens=256 tps=62.88
[137/500] sample_id=322 correct=1 latency=4.066s tokens=256 tps=62.95
[138/500] sample_id=325 correct=0 latency=4.074s tokens=256 tps=62.84
[139/500] sample_id=328 correct=1 latency=4.072s tokens=256 tps=62.87
[140/500] sample_id=331 correct=0 latency=4.070s tokens=256 tps=62.89
[141/500] sample_id=332 correct=0 latency=4.071s tokens=256 tps=62.89
[142/500] sample_id=337 correct=0 latency=4.064s tokens=256 tps=63.00
[143/500] sample_id=342 correct=0 latency=4.044s tokens=256 tps=63.31
[144/500] sample_id=345 correct=0 latency=4.040s tokens=256 tps=63.36
[145/500] sample_id=348 correct=1 latency=4.049s tokens=256 tps=63.23
[146/500] sample_id=349 correct=0 latency=4.065s tokens=256 tps=62.98
[147/500] sample_id=352 correct=0 latency=4.070s tokens=256 tps=62.89
[148/500] sample_id=354 correct=0 latency=4.066s tokens=256 tps=62.97
[149/500] sample_id=355 correct=0 latency=4.063s tokens=256 tps=63.01
[150/500] sample_id=356 correct=1 latency=4.074s tokens=256 tps=62.83
[151/500] sample_id=361 correct=1 latency=4.056s tokens=256 tps=63.12
[152/500] sample_id=363 correct=1 latency=4.066s tokens=256 tps=62.96
[153/500] sample_id=364 correct=0 latency=4.072s tokens=256 tps=62.87
[154/500] sample_id=367 correct=1 latency=4.057s tokens=256 tps=63.10
[155/500] sample_id=368 correct=0 latency=4.071s tokens=256 tps=62.88
[156/500] sample_id=369 correct=0 latency=4.058s tokens=256 tps=63.09
[157/500] sample_id=370 correct=1 latency=4.055s tokens=256 tps=63.13
[158/500] sample_id=371 correct=0 latency=4.065s tokens=256 tps=62.98
[159/500] sample_id=374 correct=0 latency=4.076s tokens=256 tps=62.81
[160/500] sample_id=375 correct=0 latency=4.051s tokens=256 tps=63.19
[161/500] sample_id=376 correct=0 latency=4.062s tokens=256 tps=63.03
[162/500] sample_id=377 correct=0 latency=4.061s tokens=256 tps=63.04
[163/500] sample_id=379 correct=0 latency=4.055s tokens=256 tps=63.13
[164/500] sample_id=380 correct=1 latency=4.064s tokens=256 tps=62.99
[165/500] sample_id=381 correct=0 latency=4.055s tokens=256 tps=63.13
[166/500] sample_id=383 correct=1 latency=4.044s tokens=256 tps=63.30
[167/500] sample_id=384 correct=0 latency=4.046s tokens=256 tps=63.28
[168/500] sample_id=386 correct=0 latency=4.040s tokens=256 tps=63.37
[169/500] sample_id=387 correct=0 latency=4.065s tokens=256 tps=62.97
[170/500] sample_id=390 correct=0 latency=4.055s tokens=256 tps=63.14
[171/500] sample_id=395 correct=0 latency=4.053s tokens=256 tps=63.16
[172/500] sample_id=396 correct=0 latency=4.052s tokens=256 tps=63.18
[173/500] sample_id=397 correct=0 latency=4.058s tokens=256 tps=63.08
[174/500] sample_id=400 correct=0 latency=4.053s tokens=256 tps=63.17
[175/500] sample_id=401 correct=1 latency=4.071s tokens=256 tps=62.88
[176/500] sample_id=402 correct=0 latency=4.061s tokens=256 tps=63.04
[177/500] sample_id=404 correct=1 latency=4.064s tokens=256 tps=62.99
[178/500] sample_id=406 correct=0 latency=4.076s tokens=256 tps=62.80
[179/500] sample_id=411 correct=0 latency=4.060s tokens=256 tps=63.05
[180/500] sample_id=419 correct=0 latency=4.059s tokens=256 tps=63.06
[181/500] sample_id=423 correct=0 latency=4.074s tokens=256 tps=62.84
[182/500] sample_id=426 correct=0 latency=4.074s tokens=256 tps=62.84
[183/500] sample_id=427 correct=0 latency=4.068s tokens=256 tps=62.93
[184/500] sample_id=428 correct=0 latency=4.074s tokens=256 tps=62.85
[185/500] sample_id=431 correct=0 latency=4.076s tokens=256 tps=62.81
[186/500] sample_id=434 correct=1 latency=4.075s tokens=256 tps=62.81
[187/500] sample_id=439 correct=0 latency=4.075s tokens=256 tps=62.82
[188/500] sample_id=442 correct=1 latency=4.072s tokens=256 tps=62.87
[189/500] sample_id=443 correct=1 latency=4.071s tokens=256 tps=62.88
[190/500] sample_id=445 correct=0 latency=4.071s tokens=256 tps=62.89
[191/500] sample_id=454 correct=1 latency=4.073s tokens=256 tps=62.85
[192/500] sample_id=455 correct=0 latency=4.069s tokens=256 tps=62.91
[193/500] sample_id=458 correct=0 latency=4.074s tokens=256 tps=62.83
[194/500] sample_id=461 correct=0 latency=4.071s tokens=256 tps=62.88
[195/500] sample_id=463 correct=0 latency=4.053s tokens=256 tps=63.16
[196/500] sample_id=464 correct=0 latency=4.067s tokens=256 tps=62.95
[197/500] sample_id=470 correct=0 latency=4.046s tokens=256 tps=63.27
[198/500] sample_id=474 correct=1 latency=4.063s tokens=256 tps=63.01
[199/500] sample_id=479 correct=0 latency=4.064s tokens=256 tps=62.99
[200/500] sample_id=480 correct=0 latency=4.071s tokens=256 tps=62.89
[201/500] sample_id=482 correct=0 latency=4.042s tokens=256 tps=63.34
[202/500] sample_id=483 correct=0 latency=4.062s tokens=256 tps=63.02
[203/500] sample_id=485 correct=0 latency=4.069s tokens=256 tps=62.91
[204/500] sample_id=489 correct=0 latency=4.057s tokens=256 tps=63.11
[205/500] sample_id=491 correct=0 latency=4.073s tokens=256 tps=62.86
[206/500] sample_id=494 correct=0 latency=4.070s tokens=256 tps=62.90
[207/500] sample_id=495 correct=0 latency=4.066s tokens=256 tps=62.97
[208/500] sample_id=502 correct=0 latency=4.077s tokens=256 tps=62.79
[209/500] sample_id=503 correct=0 latency=4.059s tokens=256 tps=63.07
[210/500] sample_id=504 correct=0 latency=4.073s tokens=256 tps=62.85
[211/500] sample_id=507 correct=0 latency=4.064s tokens=256 tps=62.99
[212/500] sample_id=508 correct=0 latency=4.069s tokens=256 tps=62.91
[213/500] sample_id=509 correct=1 latency=4.063s tokens=256 tps=63.01
[214/500] sample_id=510 correct=0 latency=4.057s tokens=256 tps=63.10
[215/500] sample_id=511 correct=0 latency=4.034s tokens=256 tps=63.46
[216/500] sample_id=512 correct=1 latency=4.033s tokens=256 tps=63.48
[217/500] sample_id=513 correct=0 latency=4.031s tokens=256 tps=63.50
[218/500] sample_id=515 correct=1 latency=4.058s tokens=256 tps=63.09
[219/500] sample_id=524 correct=0 latency=4.073s tokens=256 tps=62.85
[220/500] sample_id=525 correct=0 latency=4.053s tokens=256 tps=63.16
[221/500] sample_id=528 correct=0 latency=4.067s tokens=256 tps=62.94
[222/500] sample_id=531 correct=0 latency=4.070s tokens=256 tps=62.89
[223/500] sample_id=534 correct=0 latency=4.041s tokens=256 tps=63.35
[224/500] sample_id=536 correct=0 latency=4.059s tokens=256 tps=63.07
[225/500] sample_id=537 correct=1 latency=4.061s tokens=256 tps=63.04
[226/500] sample_id=545 correct=0 latency=4.051s tokens=256 tps=63.19
[227/500] sample_id=547 correct=0 latency=4.057s tokens=256 tps=63.10
[228/500] sample_id=554 correct=0 latency=4.045s tokens=256 tps=63.29
[229/500] sample_id=557 correct=0 latency=4.060s tokens=256 tps=63.06
[230/500] sample_id=559 correct=0 latency=4.056s tokens=256 tps=63.11
[231/500] sample_id=560 correct=0 latency=4.061s tokens=256 tps=63.05
[232/500] sample_id=562 correct=0 latency=4.040s tokens=256 tps=63.36
[233/500] sample_id=571 correct=1 latency=4.043s tokens=256 tps=63.32
[234/500] sample_id=575 correct=0 latency=4.053s tokens=256 tps=63.16
[235/500] sample_id=577 correct=0 latency=4.034s tokens=256 tps=63.46
[236/500] sample_id=579 correct=0 latency=4.056s tokens=256 tps=63.12
[237/500] sample_id=580 correct=1 latency=4.032s tokens=256 tps=63.50
[238/500] sample_id=581 correct=1 latency=4.044s tokens=256 tps=63.30
[239/500] sample_id=585 correct=0 latency=4.049s tokens=256 tps=63.23
[240/500] sample_id=586 correct=0 latency=4.054s tokens=256 tps=63.14
[241/500] sample_id=587 correct=0 latency=4.059s tokens=256 tps=63.07
[242/500] sample_id=588 correct=0 latency=4.053s tokens=256 tps=63.17
[243/500] sample_id=591 correct=0 latency=4.059s tokens=256 tps=63.07
[244/500] sample_id=595 correct=1 latency=4.058s tokens=256 tps=63.09
[245/500] sample_id=599 correct=0 latency=4.067s tokens=256 tps=62.95
[246/500] sample_id=603 correct=0 latency=4.058s tokens=256 tps=63.09
[247/500] sample_id=604 correct=0 latency=4.068s tokens=256 tps=62.94
[248/500] sample_id=605 correct=1 latency=4.067s tokens=256 tps=62.95
[249/500] sample_id=606 correct=0 latency=4.061s tokens=256 tps=63.04
[250/500] sample_id=607 correct=0 latency=4.036s tokens=256 tps=63.42
[251/500] sample_id=612 correct=0 latency=4.039s tokens=256 tps=63.38
[252/500] sample_id=613 correct=1 latency=4.048s tokens=256 tps=63.24
[253/500] sample_id=614 correct=1 latency=4.041s tokens=256 tps=63.35
[254/500] sample_id=615 correct=1 latency=4.050s tokens=256 tps=63.21
[255/500] sample_id=616 correct=1 latency=4.037s tokens=256 tps=63.42
[256/500] sample_id=617 correct=0 latency=4.056s tokens=256 tps=63.11
[257/500] sample_id=618 correct=0 latency=4.053s tokens=256 tps=63.16
[258/500] sample_id=622 correct=0 latency=4.057s tokens=256 tps=63.10
[259/500] sample_id=623 correct=0 latency=4.058s tokens=256 tps=63.08
[260/500] sample_id=624 correct=0 latency=4.049s tokens=256 tps=63.22
[261/500] sample_id=625 correct=0 latency=4.064s tokens=256 tps=63.00
[262/500] sample_id=627 correct=0 latency=4.058s tokens=256 tps=63.09
[263/500] sample_id=628 correct=0 latency=4.047s tokens=256 tps=63.26
[264/500] sample_id=631 correct=1 latency=4.065s tokens=256 tps=62.98
[265/500] sample_id=632 correct=0 latency=4.058s tokens=256 tps=63.08
[266/500] sample_id=637 correct=0 latency=4.070s tokens=256 tps=62.90
[267/500] sample_id=639 correct=0 latency=4.046s tokens=256 tps=63.28
[268/500] sample_id=641 correct=0 latency=4.034s tokens=256 tps=63.47
[269/500] sample_id=642 correct=0 latency=4.065s tokens=256 tps=62.98
[270/500] sample_id=643 correct=0 latency=4.060s tokens=256 tps=63.06
[271/500] sample_id=645 correct=1 latency=4.048s tokens=256 tps=63.24
[272/500] sample_id=648 correct=0 latency=4.059s tokens=256 tps=63.08
[273/500] sample_id=650 correct=1 latency=4.060s tokens=256 tps=63.06
[274/500] sample_id=651 correct=0 latency=4.067s tokens=256 tps=62.95
[275/500] sample_id=653 correct=1 latency=4.064s tokens=256 tps=62.99
[276/500] sample_id=654 correct=0 latency=4.064s tokens=256 tps=63.00
[277/500] sample_id=655 correct=0 latency=4.061s tokens=256 tps=63.04
[278/500] sample_id=657 correct=0 latency=4.064s tokens=256 tps=62.99
[279/500] sample_id=658 correct=0 latency=4.076s tokens=256 tps=62.81
[280/500] sample_id=659 correct=0 latency=4.067s tokens=256 tps=62.94
[281/500] sample_id=662 correct=0 latency=4.061s tokens=256 tps=63.03
[282/500] sample_id=666 correct=1 latency=4.058s tokens=256 tps=63.08
[283/500] sample_id=668 correct=0 latency=4.068s tokens=256 tps=62.93
[284/500] sample_id=670 correct=0 latency=4.060s tokens=256 tps=63.05
[285/500] sample_id=671 correct=0 latency=4.048s tokens=256 tps=63.24
[286/500] sample_id=680 correct=0 latency=4.052s tokens=256 tps=63.18
[287/500] sample_id=681 correct=0 latency=4.058s tokens=256 tps=63.08
[288/500] sample_id=684 correct=1 latency=4.049s tokens=256 tps=63.22
[289/500] sample_id=688 correct=0 latency=4.056s tokens=256 tps=63.11
[290/500] sample_id=690 correct=0 latency=4.064s tokens=256 tps=62.99
[291/500] sample_id=692 correct=1 latency=4.067s tokens=256 tps=62.95
[292/500] sample_id=694 correct=1 latency=4.066s tokens=256 tps=62.97
[293/500] sample_id=695 correct=0 latency=4.068s tokens=256 tps=62.92
[294/500] sample_id=697 correct=1 latency=4.067s tokens=256 tps=62.95
[295/500] sample_id=700 correct=0 latency=4.054s tokens=256 tps=63.14
[296/500] sample_id=701 correct=0 latency=4.060s tokens=256 tps=63.06
[297/500] sample_id=702 correct=0 latency=4.061s tokens=256 tps=63.03
[298/500] sample_id=705 correct=0 latency=4.072s tokens=256 tps=62.87
[299/500] sample_id=708 correct=0 latency=4.061s tokens=256 tps=63.04
[300/500] sample_id=709 correct=1 latency=4.068s tokens=256 tps=62.94
[301/500] sample_id=710 correct=0 latency=4.070s tokens=256 tps=62.90
[302/500] sample_id=711 correct=0 latency=4.063s tokens=256 tps=63.00
[303/500] sample_id=712 correct=1 latency=4.027s tokens=256 tps=63.57
[304/500] sample_id=714 correct=0 latency=4.063s tokens=256 tps=63.00
[305/500] sample_id=715 correct=0 latency=4.070s tokens=256 tps=62.91
[306/500] sample_id=716 correct=0 latency=4.041s tokens=256 tps=63.35
[307/500] sample_id=717 correct=0 latency=4.057s tokens=256 tps=63.10
[308/500] sample_id=718 correct=1 latency=4.066s tokens=256 tps=62.97
[309/500] sample_id=719 correct=0 latency=4.031s tokens=256 tps=63.50
[310/500] sample_id=721 correct=0 latency=4.046s tokens=256 tps=63.27
[311/500] sample_id=725 correct=0 latency=4.060s tokens=256 tps=63.05
[312/500] sample_id=726 correct=1 latency=4.063s tokens=256 tps=63.01
[313/500] sample_id=728 correct=0 latency=4.051s tokens=256 tps=63.20
[314/500] sample_id=729 correct=0 latency=4.066s tokens=256 tps=62.97
[315/500] sample_id=731 correct=0 latency=4.067s tokens=256 tps=62.94
[316/500] sample_id=732 correct=0 latency=4.075s tokens=256 tps=62.82
[317/500] sample_id=738 correct=0 latency=4.064s tokens=256 tps=62.99
[318/500] sample_id=739 correct=0 latency=4.067s tokens=256 tps=62.94
[319/500] sample_id=742 correct=0 latency=4.068s tokens=256 tps=62.93
[320/500] sample_id=749 correct=0 latency=4.054s tokens=256 tps=63.14
[321/500] sample_id=750 correct=0 latency=4.051s tokens=256 tps=63.19
[322/500] sample_id=751 correct=1 latency=4.045s tokens=256 tps=63.29
[323/500] sample_id=752 correct=0 latency=4.064s tokens=256 tps=62.99
[324/500] sample_id=754 correct=1 latency=4.066s tokens=256 tps=62.96
[325/500] sample_id=755 correct=0 latency=4.043s tokens=256 tps=63.32
[326/500] sample_id=756 correct=0 latency=4.045s tokens=256 tps=63.29
[327/500] sample_id=757 correct=0 latency=4.059s tokens=256 tps=63.07
[328/500] sample_id=761 correct=0 latency=4.053s tokens=256 tps=63.16
[329/500] sample_id=762 correct=1 latency=4.053s tokens=256 tps=63.16
[330/500] sample_id=763 correct=1 latency=4.066s tokens=256 tps=62.96
[331/500] sample_id=764 correct=0 latency=4.050s tokens=256 tps=63.20
[332/500] sample_id=766 correct=0 latency=4.052s tokens=256 tps=63.18
[333/500] sample_id=767 correct=0 latency=4.054s tokens=256 tps=63.14
[334/500] sample_id=770 correct=0 latency=4.046s tokens=256 tps=63.27
[335/500] sample_id=772 correct=0 latency=4.038s tokens=256 tps=63.40
[336/500] sample_id=774 correct=0 latency=4.060s tokens=256 tps=63.06
[337/500] sample_id=776 correct=1 latency=4.049s tokens=256 tps=63.23
[338/500] sample_id=779 correct=1 latency=4.052s tokens=256 tps=63.18
[339/500] sample_id=780 correct=0 latency=4.048s tokens=256 tps=63.25
[340/500] sample_id=782 correct=0 latency=4.044s tokens=256 tps=63.31
[341/500] sample_id=785 correct=0 latency=4.065s tokens=256 tps=62.98
[342/500] sample_id=787 correct=0 latency=4.049s tokens=256 tps=63.23
[343/500] sample_id=793 correct=0 latency=4.046s tokens=256 tps=63.28
[344/500] sample_id=794 correct=0 latency=4.055s tokens=256 tps=63.14
[345/500] sample_id=796 correct=0 latency=4.046s tokens=256 tps=63.27
[346/500] sample_id=798 correct=0 latency=4.056s tokens=256 tps=63.12
[347/500] sample_id=799 correct=0 latency=4.061s tokens=256 tps=63.03
[348/500] sample_id=800 correct=0 latency=4.058s tokens=256 tps=63.09
[349/500] sample_id=804 correct=0 latency=4.063s tokens=256 tps=63.00
[350/500] sample_id=805 correct=1 latency=4.057s tokens=256 tps=63.09
[351/500] sample_id=806 correct=0 latency=4.063s tokens=256 tps=63.00
[352/500] sample_id=807 correct=0 latency=4.060s tokens=256 tps=63.05
[353/500] sample_id=808 correct=0 latency=4.069s tokens=256 tps=62.92
[354/500] sample_id=811 correct=1 latency=4.061s tokens=256 tps=63.03
[355/500] sample_id=812 correct=0 latency=4.058s tokens=256 tps=63.08
[356/500] sample_id=813 correct=0 latency=4.030s tokens=256 tps=63.52
[357/500] sample_id=815 correct=1 latency=4.042s tokens=256 tps=63.33
[358/500] sample_id=818 correct=0 latency=4.049s tokens=256 tps=63.22
[359/500] sample_id=820 correct=0 latency=4.049s tokens=256 tps=63.22
[360/500] sample_id=822 correct=0 latency=4.037s tokens=256 tps=63.41
[361/500] sample_id=829 correct=0 latency=4.012s tokens=256 tps=63.81
[362/500] sample_id=830 correct=0 latency=4.014s tokens=256 tps=63.78
[363/500] sample_id=831 correct=0 latency=4.049s tokens=256 tps=63.22
[364/500] sample_id=832 correct=0 latency=4.044s tokens=256 tps=63.31
[365/500] sample_id=836 correct=1 latency=4.030s tokens=256 tps=63.52
[366/500] sample_id=838 correct=0 latency=4.047s tokens=256 tps=63.25
[367/500] sample_id=841 correct=0 latency=4.027s tokens=256 tps=63.57
[368/500] sample_id=842 correct=0 latency=4.048s tokens=256 tps=63.24
[369/500] sample_id=844 correct=1 latency=4.041s tokens=256 tps=63.35
[370/500] sample_id=846 correct=0 latency=4.049s tokens=256 tps=63.22
[371/500] sample_id=850 correct=0 latency=4.050s tokens=256 tps=63.20
[372/500] sample_id=851 correct=0 latency=4.047s tokens=256 tps=63.25
