dataset,model,strategy,n,strict_acc,prediction_missing_rate,bare_letter_response_rate,median_response_chars,mean_response_chars,think_tag_rate,object_object_rate
arc_challenge,qwen3_8b,few_shot_cot,238,0.5252100840336135,0.02100840336134454,0.037815126050420166,1151.0,782.7478991596639,0.6512605042016807,0.0
arc_challenge,gemma_4_26b_a4b,zero_shot,238,0.9453781512605042,0.02100840336134454,0.22268907563025211,12.0,111.45798319327731,0.0,0.0
arc_challenge,gemma_4_e2b,zero_shot,238,0.7689075630252101,0.0,1.0,1.0,1.0,0.0,0.0
arc_challenge,gemma_4_e4b,zero_shot,238,0.8991596638655462,0.0,1.0,1.0,1.0,0.0,0.0
arc_challenge,phi_4_mini_reasoning,zero_shot,238,0.27310924369747897,0.004201680672268907,0.0,1207.0,1192.6680672268908,0.9957983193277311,0.0
arc_challenge,phi_4_reasoning,zero_shot,238,0.3025210084033613,0.0,0.05042016806722689,1060.5,1012.2310924369748,0.9495798319327731,0.0
arc_challenge,qwen3_30b_a3b,zero_shot,238,0.41596638655462187,0.01680672268907563,0.18487394957983194,1168.5,946.563025210084,0.8067226890756303,0.0
arc_challenge,qwen3_8b,zero_shot,238,0.44537815126050423,0.012605042016806723,0.25630252100840334,1158.5,876.59243697479,0.7394957983193278,0.0
truthfulqa_mc1,gemma_4_26b_a4b,cot,238,0.726890756302521,0.13025210084033614,0.18907563025210083,11.0,176.9579831932773,0.0,0.0
truthfulqa_mc1,gemma_4_e2b,cot,238,0.5630252100840336,0.01680672268907563,0.9831932773109243,1.0,1.0294117647058822,0.0,0.0
truthfulqa_mc1,gemma_4_e4b,cot,238,0.6428571428571429,0.18067226890756302,0.7521008403361344,1.0,68.34033613445378,0.0,0.0
truthfulqa_mc1,phi_4_mini_reasoning,cot,238,0.9831932773109243,0.0,0.0,1166.5,1157.126050420168,0.9957983193277311,0.0
truthfulqa_mc1,phi_4_reasoning,cot,238,0.9957983193277311,0.0,0.05042016806722689,1059.5,1006.5756302521008,0.9495798319327731,0.0
truthfulqa_mc1,qwen3_30b_a3b,cot,238,0.9873949579831933,0.004201680672268907,0.10084033613445378,1112.0,1010.3823529411765,0.8949579831932774,0.0
truthfulqa_mc1,qwen3_8b,cot,238,0.9873949579831933,0.0,0.058823529411764705,1117.0,1048.9873949579833,0.9411764705882353,0.0
truthfulqa_mc1,gemma_4_26b_a4b,few_shot_cot,238,0.7857142857142857,0.05042016806722689,0.6386554621848739,1.0,51.075630252100844,0.0,0.0
truthfulqa_mc1,gemma_4_e2b,few_shot_cot,238,0.5168067226890757,0.037815126050420166,0.9621848739495799,1.0,1.0,0.0,0.0
truthfulqa_mc1,gemma_4_e4b,few_shot_cot,238,0.7394957983193278,0.012605042016806723,0.9873949579831933,1.0,1.0294117647058822,0.0,0.0
truthfulqa_mc1,phi_4_mini_reasoning,few_shot_cot,238,0.9663865546218487,0.0,0.0,1175.5,1140.264705882353,0.9705882352941176,0.0
truthfulqa_mc1,phi_4_reasoning,few_shot_cot,238,1.0,0.0,0.0,1092.0,1088.8865546218487,1.0,0.0
truthfulqa_mc1,qwen3_30b_a3b,few_shot_cot,238,0.9663865546218487,0.008403361344537815,0.13025210084033614,1113.0,976.3361344537815,0.8613445378151261,0.0
truthfulqa_mc1,qwen3_8b,few_shot_cot,238,0.9789915966386554,0.0,0.08823529411764706,1107.0,1026.3697478991596,0.9117647058823529,0.0
truthfulqa_mc1,gemma_4_26b_a4b,zero_shot,238,0.7941176470588235,0.07563025210084033,0.2184873949579832,11.0,98.44117647058823,0.0,0.0
truthfulqa_mc1,gemma_4_e2b,zero_shot,238,0.5504201680672269,0.01680672268907563,0.9831932773109243,1.0,1.0294117647058822,0.0,0.0
truthfulqa_mc1,gemma_4_e4b,zero_shot,238,0.7352941176470589,0.029411764705882353,0.9621848739495799,1.0,13.22689075630252,0.0,0.0
truthfulqa_mc1,phi_4_mini_reasoning,zero_shot,238,0.9453781512605042,0.0,0.0,1180.5,1163.7436974789916,0.9915966386554622,0.0
truthfulqa_mc1,phi_4_reasoning,zero_shot,238,0.9957983193277311,0.0,0.08403361344537816,1041.0,965.4243697478992,0.9159663865546218,0.0
truthfulqa_mc1,qwen3_30b_a3b,zero_shot,238,0.9831932773109243,0.008403361344537815,0.1092436974789916,1105.5,989.3697478991596,0.8823529411764706,0.0
truthfulqa_mc1,qwen3_8b,zero_shot,238,0.9621848739495799,0.0,0.18907563025210083,1079.5,899.7394957983194,0.8109243697478992,0.0
