TAG: revision_full500_v1
====================================================================================================
Prepared dataset sizes used:
  - arc_challenge: 500
  - gsm8k: 500
  - math_l1_l3: 238
  - truthfulqa_mc1: 500

Top 10 weighted results under paper_original weights:
requested_model_name actual_model_name     strategy  weighted_accuracy  mean_latency_sec_across_tasks  mean_vram_gb_across_tasks  mean_flops_per_token
     gemma_4_26b_a4b   gemma_4_26b_a4b    zero_shot           0.783583                       7.087543                  48.067372                   NaN
         gemma_4_e4b       gemma_4_e4b few_shot_cot           0.754183                       3.793646                  14.894491                   NaN
         gemma_4_e4b       gemma_4_e4b          cot           0.752420                       4.840487                  14.894491                   NaN
         gemma_4_e4b       gemma_4_e4b    zero_shot           0.752276                       4.386368                  14.894491                   NaN
     gemma_4_26b_a4b   gemma_4_26b_a4b          cot           0.741057                       8.401336                  48.067372                   NaN
            qwen3_8b          qwen3_8b few_shot_cot           0.720378                       7.272223                  15.256452                   NaN
     gemma_4_26b_a4b   gemma_4_26b_a4b few_shot_cot           0.709429                      10.403568                  48.067372                   NaN
         gemma_4_e2b       gemma_4_e2b few_shot_cot           0.691723                       5.917591                   9.543149                   NaN
       qwen3_30b_a3b     qwen3_30b_a3b few_shot_cot           0.678294                      14.090466                  57.620533                   NaN
         gemma_4_e2b       gemma_4_e2b    zero_shot           0.661894                       5.197454                   9.543149                   NaN

Top model under each weighting scheme:
              scheme requested_model_name     strategy  weighted_accuracy
           arc_heavy      gemma_4_26b_a4b    zero_shot           0.841355
       equal_weights      gemma_4_26b_a4b    zero_shot           0.796819
         gsm8k_heavy      gemma_4_26b_a4b    zero_shot           0.773719
          math_heavy      gemma_4_26b_a4b    zero_shot           0.743366
no_truthfulqa_renorm      gemma_4_26b_a4b    zero_shot           0.798426
      paper_original      gemma_4_26b_a4b    zero_shot           0.783583
    truthfulqa_heavy             qwen3_8b few_shot_cot           0.861889

Direct comparison vs original paper rows:
requested_model_name   dataset_name     strategy  orig_n  orig_accuracy   n  accuracy  accuracy_delta
     gemma_4_26b_a4b     math_l1_l3    zero_shot     100           0.30 238  0.693277        0.393277
         gemma_4_e2b     math_l1_l3    zero_shot     100           0.28 238  0.617647        0.337647
         gemma_4_e4b     math_l1_l3    zero_shot     100           0.43 238  0.630252        0.200252
phi_4_mini_reasoning     math_l1_l3    zero_shot     100           0.03 238  0.252101        0.222101
       qwen3_30b_a3b     math_l1_l3    zero_shot     100           0.02 238  0.600840        0.580840
            qwen3_8b     math_l1_l3    zero_shot     100           0.00 238  0.205882        0.205882
     gemma_4_26b_a4b truthfulqa_mc1          cot     100           0.81 500  0.750000       -0.060000
         gemma_4_e2b truthfulqa_mc1          cot     100           0.55 500  0.562000        0.012000
         gemma_4_e4b truthfulqa_mc1          cot     100           0.86 500  0.628000       -0.232000
phi_4_mini_reasoning truthfulqa_mc1          cot     100           0.99 500  0.984000       -0.006000
       qwen3_30b_a3b truthfulqa_mc1          cot     100           0.98 500  0.984000        0.004000
            qwen3_8b truthfulqa_mc1          cot     100           0.94 500  0.990000        0.050000
     gemma_4_26b_a4b truthfulqa_mc1 few_shot_cot     100           0.82 500  0.820000        0.000000
         gemma_4_e2b truthfulqa_mc1 few_shot_cot     100           0.51 500  0.518000        0.008000
         gemma_4_e4b truthfulqa_mc1 few_shot_cot     100           0.80 500  0.742000       -0.058000
phi_4_mini_reasoning truthfulqa_mc1 few_shot_cot     100           0.97 500  0.966000       -0.004000
       qwen3_30b_a3b truthfulqa_mc1 few_shot_cot     100           0.99 500  0.982000       -0.008000
            qwen3_8b truthfulqa_mc1 few_shot_cot     100           0.97 500  0.986000        0.016000
     gemma_4_26b_a4b truthfulqa_mc1    zero_shot     100           0.81 500  0.792000       -0.018000
         gemma_4_e2b truthfulqa_mc1    zero_shot     100           0.55 500  0.546000       -0.004000
         gemma_4_e4b truthfulqa_mc1    zero_shot     100           0.86 500  0.732000       -0.128000
phi_4_mini_reasoning truthfulqa_mc1    zero_shot     100           0.99 500  0.954000       -0.036000
       qwen3_30b_a3b truthfulqa_mc1    zero_shot     100           0.98 500  0.990000        0.010000
            qwen3_8b truthfulqa_mc1    zero_shot     100           0.94 500  0.962000        0.022000

Suspicious-case audit summary:
          model dataset     strategy   n  accuracy  share_has_hash  share_has_think_tags  share_has_boxed  likely_max_token_clipping_512  mean_response_chars  median_response_chars
phi_4_reasoning   gsm8k          cot 500     0.020           0.856                 0.996              0.0                           True             1971.528                 1980.0
phi_4_reasoning   gsm8k few_shot_cot 500     0.018           0.946                 0.994              0.0                           True             1998.564                 2024.0
phi_4_reasoning   gsm8k    zero_shot 500     0.032           0.828                 0.978              0.0                           True             1930.606                 1972.5
